,carat,cut,color,depth,table,x,y,z,price
0,0.23,Ideal,E,61.5,55.0,3.95,3.98,2.43,326
1,0.21,Premium,E,59.8,61.0,3.89,3.84,2.31,326
3,0.29,Premium,I,62.4,58.0,4.2,4.23,2.63,334
4,0.31,Good,J,63.3,58.0,4.34,4.35,2.75,335
5,0.24,Very Good,J,62.8,57.0,3.94,3.96,2.48,336
6,0.24,Very Good,I,62.3,57.0,3.95,3.98,2.47,336
7,0.26,Very Good,H,61.9,55.0,4.07,4.11,2.53,337
9,0.23,Very Good,H,59.4,61.0,4.0,4.05,2.39,338
10,0.3,Good,J,64.0,55.0,4.25,4.28,2.73,339
11,0.23,Ideal,J,62.8,56.0,3.93,3.9,2.46,340
12,0.22,Premium,F,60.4,61.0,3.88,3.84,2.33,342
13,0.31,Ideal,J,62.2,54.0,4.35,4.37,2.71,344
14,0.2,Premium,E,60.2,62.0,3.79,3.75,2.27,345
15,0.32,Premium,E,60.9,58.0,4.38,4.42,2.68,345
16,0.3,Ideal,I,62.0,54.0,4.31,4.34,2.68,348
17,0.3,Good,J,63.4,54.0,4.23,4.29,2.7,351
18,0.3,Good,J,63.8,56.0,4.23,4.26,2.71,351
19,0.3,Very Good,J,62.7,59.0,4.21,4.27,2.66,351
20,0.3,Good,I,63.3,56.0,4.26,4.3,2.71,351
21,0.23,Very Good,E,63.8,55.0,3.85,3.92,2.48,352
22,0.23,Very Good,H,61.0,57.0,3.94,3.96,2.41,353
23,0.31,Very Good,J,59.4,62.0,4.39,4.43,2.62,353
25,0.23,Very Good,G,60.4,58.0,3.97,4.01,2.41,354
26,0.24,Premium,I,62.5,57.0,3.97,3.94,2.47,355
27,0.3,Very Good,J,62.2,57.0,4.28,4.3,2.67,357
28,0.23,Very Good,D,60.5,61.0,3.96,3.97,2.4,357
29,0.23,Very Good,F,60.9,57.0,3.96,3.99,2.42,357
30,0.23,Very Good,F,60.0,57.0,4.0,4.03,2.41,402
31,0.23,Very Good,F,59.8,57.0,4.04,4.06,2.42,402
32,0.23,Very Good,E,60.7,59.0,3.97,4.01,2.42,402
33,0.23,Very Good,E,59.5,58.0,4.01,4.06,2.4,402
34,0.23,Very Good,D,61.9,58.0,3.92,3.96,2.44,402
36,0.23,Good,E,64.1,59.0,3.83,3.85,2.46,402
37,0.31,Good,H,64.0,54.0,4.29,4.31,2.75,402
38,0.26,Very Good,D,60.8,59.0,4.13,4.16,2.52,403
39,0.33,Ideal,I,61.8,55.0,4.49,4.51,2.78,403
40,0.33,Ideal,I,61.2,56.0,4.49,4.5,2.75,403
41,0.33,Ideal,J,61.1,56.0,4.49,4.55,2.76,403
44,0.32,Good,H,63.1,56.0,4.34,4.37,2.75,403
45,0.29,Premium,F,62.4,58.0,4.24,4.26,2.65,403
46,0.32,Very Good,H,61.8,55.0,4.35,4.42,2.71,403
47,0.32,Good,H,63.8,56.0,4.36,4.38,2.79,403
48,0.25,Very Good,E,63.3,60.0,4.0,4.03,2.54,404
49,0.29,Very Good,H,60.7,60.0,4.33,4.37,2.64,404
50,0.24,Very Good,F,60.9,61.0,4.02,4.03,2.45,404
51,0.23,Ideal,G,61.9,54.0,3.93,3.95,2.44,404
52,0.32,Ideal,I,60.9,55.0,4.45,4.48,2.72,404
53,0.22,Premium,E,61.6,58.0,3.93,3.89,2.41,404
54,0.22,Premium,D,59.3,62.0,3.91,3.88,2.31,404
55,0.3,Ideal,I,61.0,59.0,4.3,4.33,2.63,405
56,0.3,Premium,J,59.3,61.0,4.43,4.38,2.61,405
57,0.3,Very Good,I,62.6,57.0,4.25,4.28,2.67,405
58,0.3,Very Good,I,63.0,57.0,4.28,4.32,2.71,405
59,0.3,Good,I,63.2,55.0,4.25,4.29,2.7,405
60,0.35,Ideal,I,60.9,57.0,4.54,4.59,2.78,552
61,0.3,Premium,D,62.6,59.0,4.23,4.27,2.66,552
62,0.3,Ideal,D,62.5,57.0,4.29,4.32,2.69,552
63,0.3,Ideal,D,62.1,56.0,4.3,4.33,2.68,552
64,0.42,Premium,I,61.5,59.0,4.78,4.84,2.96,552
65,0.28,Ideal,G,61.4,56.0,4.19,4.22,2.58,553
66,0.32,Ideal,I,62.0,55.3,4.39,4.42,2.73,553
67,0.31,Very Good,G,63.3,57.0,4.33,4.3,2.73,553
68,0.31,Premium,G,61.8,58.0,4.35,4.32,2.68,553
69,0.24,Premium,E,60.7,58.0,4.01,4.03,2.44,553
70,0.24,Very Good,D,61.5,60.0,3.97,4.0,2.45,553
71,0.3,Very Good,H,63.1,56.0,4.29,4.27,2.7,554
72,0.3,Premium,H,62.9,59.0,4.28,4.24,2.68,554
73,0.3,Premium,H,62.5,57.0,4.29,4.25,2.67,554
74,0.3,Good,H,63.7,57.0,4.28,4.26,2.72,554
76,0.26,Very Good,E,59.9,58.0,4.15,4.23,2.51,554
77,0.26,Very Good,D,62.4,54.0,4.08,4.13,2.56,554
78,0.26,Very Good,D,62.8,60.0,4.01,4.05,2.53,554
79,0.26,Very Good,E,62.6,59.0,4.06,4.09,2.55,554
80,0.26,Very Good,E,63.4,59.0,4.0,4.04,2.55,554
81,0.26,Very Good,D,62.1,60.0,4.03,4.12,2.53,554
82,0.26,Ideal,E,62.9,58.0,4.02,4.06,2.54,554
83,0.38,Ideal,I,61.6,56.0,4.65,4.67,2.87,554
85,0.24,Premium,G,62.3,59.0,3.95,3.92,2.45,554
86,0.24,Premium,H,61.2,58.0,4.01,3.96,2.44,554
87,0.24,Premium,H,60.8,59.0,4.02,4.0,2.44,554
88,0.24,Premium,H,60.7,58.0,4.07,4.04,2.46,554
89,0.32,Premium,I,62.9,58.0,4.35,4.33,2.73,554
90,0.7,Ideal,E,62.5,57.0,5.7,5.72,3.57,2757
92,0.7,Ideal,G,61.6,56.0,5.7,5.67,3.5,2757
93,0.71,Very Good,E,62.4,57.0,5.68,5.73,3.56,2759
94,0.78,Very Good,G,63.8,56.0,5.81,5.85,3.72,2759
96,0.7,Good,F,59.4,62.0,5.71,5.76,3.4,2759
98,0.73,Very Good,E,61.6,59.0,5.77,5.78,3.56,2760
99,0.8,Premium,H,61.5,58.0,5.97,5.93,3.66,2760
100,0.75,Very Good,D,63.2,56.0,5.8,5.75,3.65,2760
101,0.75,Premium,E,59.9,54.0,6.0,5.96,3.58,2760
102,0.74,Ideal,G,61.6,55.0,5.8,5.85,3.59,2760
103,0.75,Premium,G,61.7,58.0,5.85,5.79,3.59,2760
104,0.8,Ideal,I,62.9,56.0,5.94,5.87,3.72,2760
105,0.75,Ideal,G,62.2,55.0,5.87,5.8,3.63,2760
106,0.8,Premium,G,63.0,59.0,5.9,5.81,3.69,2760
107,0.74,Ideal,I,62.3,55.0,5.77,5.81,3.61,2761
109,0.59,Ideal,E,62.0,55.0,5.38,5.43,3.35,2761
110,0.8,Ideal,F,61.4,57.0,5.96,6.0,3.67,2761
111,0.74,Ideal,E,62.2,56.0,5.8,5.84,3.62,2761
112,0.9,Premium,I,63.0,58.0,6.16,6.12,3.87,2761
113,0.74,Very Good,G,62.2,59.0,5.73,5.82,3.59,2762
114,0.73,Ideal,F,62.6,56.0,5.77,5.74,3.6,2762
115,0.73,Ideal,F,62.7,53.0,5.8,5.75,3.62,2762
116,0.8,Premium,F,61.7,58.0,5.98,5.94,3.68,2762
117,0.71,Ideal,G,62.4,54.0,5.72,5.76,3.58,2762
118,0.7,Ideal,E,60.7,58.0,5.73,5.76,3.49,2762
119,0.8,Ideal,F,59.9,59.0,6.01,6.07,3.62,2762
120,0.71,Ideal,D,62.3,56.0,5.73,5.69,3.56,2762
121,0.74,Ideal,E,62.3,54.0,5.8,5.83,3.62,2762
122,0.7,Very Good,F,61.7,63.0,5.64,5.61,3.47,2762
125,0.7,Premium,F,61.6,60.0,5.65,5.59,3.46,2762
126,0.91,Premium,H,61.4,56.0,6.09,5.97,3.7,2763
127,0.61,Very Good,D,59.6,57.0,5.56,5.58,3.32,2763
128,0.91,Fair,H,64.4,57.0,6.11,6.09,3.93,2763
130,0.77,Ideal,H,62.0,56.0,5.89,5.86,3.64,2763
131,0.71,Very Good,D,63.6,58.0,5.64,5.68,3.6,2764
132,0.71,Ideal,D,61.9,59.0,5.69,5.72,3.53,2764
133,0.7,Very Good,E,62.6,60.0,5.62,5.65,3.53,2765
134,0.77,Very Good,H,61.3,60.0,5.88,5.9,3.61,2765
135,0.63,Premium,E,60.9,60.0,5.52,5.55,3.37,2765
136,0.71,Very Good,F,60.1,62.0,5.74,5.77,3.46,2765
137,0.71,Premium,F,61.8,59.0,5.69,5.73,3.53,2765
138,0.76,Ideal,H,61.2,57.0,5.88,5.91,3.61,2765
139,0.64,Ideal,G,61.9,56.0,5.53,5.56,3.43,2766
140,0.71,Premium,G,60.9,57.0,5.78,5.75,3.51,2766
141,0.71,Premium,G,59.8,56.0,5.89,5.81,3.5,2766
142,0.7,Very Good,D,61.8,55.0,5.68,5.72,3.52,2767
143,0.7,Very Good,F,60.0,57.0,5.8,5.87,3.5,2767
144,0.71,Ideal,D,61.6,55.0,5.74,5.76,3.54,2767
146,0.71,Very Good,G,63.3,59.0,5.52,5.61,3.52,2768
147,0.73,Very Good,D,60.2,56.0,5.83,5.87,3.52,2768
148,0.7,Very Good,D,61.1,58.0,5.66,5.73,3.48,2768
